QKEY,LANG_W68,FLOYDFOL_W68,FLOYDDISC_W68,FLOYDCOVER_W68,FLOYDATTN_W68,FLOYDATTN2_a_W68,FLOYDATTN2_b_W68,FLOYDATTN2_c_W68,FLOYDATTN2_d_W68,FLOYDATTN2_e_W68,FLOYDATTN2_f_W68,FLOYDTRUMPFOL_W68,FLOYDTRUMPMSSG_W68,FLOYDSTLOCFOL_W68,FLOYDSM_W68,COVIDFOL_W68,COVIDCOVER1_W68,COVIDTRUMPFOL_W68,COVIDFACTS_a_W68,COVIDFACTS_b_W68,COVIDFACTS_c_W68,COVIDFACTS_d_W68,COVIDFACTS_e_W68,COVIDDEAL_W68,COVIDNEWSCHNG_a_W68,COVIDNEWSCHNG_b_W68,COVIDNEWSCHNG_c_W68,COVIDNEWSCHNG_d_W68,COVIDNEWSCHNG_e_W68,COVIDTOGETHER_W68,COVIDINFODIFF_W68,COVIDLOCINFO_W68,NEWSHEARD_l_W68,NEWSHEARD_m_W68,NEWSHEARD_n_W68,NEWSHEARD_o_W68,NEWSHEARD_g_W68,NEWSHEARD_i_W68,NEWSHEARD_j_W68,COVIDCOUNT_W68,COVIDCOUNT2_W68,COVIDSTYHM_W68,COVIDUNEMPLOY_W68,COVIDANTIBODIES_W68,KNOWFAUCI_W68,COVIDPLANHRD_W68,COVIDPLANTRUE_W68,COVIDPLANWATCH_W68,CAMPNII_W68,CAMP20INT_W68,CANDNEWS_a_W68,CANDNEWS_b_W68,GROUP_TRUST_a_W57,NEWS_MOST_W57,TALKPOL_W57,FOLELECT_W57,CR_PARTYNEWSUSE_W57,CR_NEWS_INFLU_W57,CR_DIG_SAV_W57,CR_MAINSOPOL_GROUPS_W57,CR_KNOWLEDGE_INDEX_W57,COVIDNEWSRELY_W66,CR_COVID_DEATHS_CNTY_W68,CR_COVID_DEATHS_PERCAP_W68,CR_COVID_DEATHS_W68,CR_COVID_DEATHS_ADJ_W68,F_METRO,F_CREGION,F_AGECAT,F_SEX,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_RACECMB,F_RACETHNMOD,F_CITIZEN,F_NATIVITY2,F_MARITAL,F_RELIG,F_BORN,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_INCOME,F_INCOME_RECODE,F_REG,F_IDEO,F_ACSWEB,F_VOLSUM,F_INC_TIER2,F_HISP_ORIGIN,F_YEARSINUS,F_PARTYSUMIDEO,FLAG_W68,WEIGHT_W68
603607,1,1,3,1,3,3,3,3,3,3,3,1,4,1,3,1,1,1,4,2,1,1,2,3,1,1,2,1,2,1,2,2,1,1,1,1,2,1,1,1,1,2,3,2,3,2,3,3,1,1,2,2,2,5,1,1,5,2,1,5,2,7,2,2,85,19.59690323,1,3,3,2,2,4,2,2,2,1,1,1,1,1,1,2,0,2,9,1,1,4,1,1,2,6,1,4,2,0.373070275
603636,1,1,3,2,2,3,3,2,2,2,2,1,4,1,1,1,2,2,4,2,2,2,2,3,2,2,2,3,2,3,2,1,2,2,2,1,1,1,2,5,2,1,4,2,3,2,4,3,2,4,2,1,2,6,2,2,4,2,1,7,2,6,3,3,479,67.87115533,1,3,2,1,1,5,2,1,1,1,1,6,10,0,6,2,0,2,3,3,1,5,1,1,1,6,1,4,2,0.29112078
603718,1,1,2,1,3,3,3,3,3,2,3,1,3,1,1,1,1,1,5,5,5,5,5,1,3,1,3,1,3,2,1,1,2,1,2,99,3,1,1,1,1,1,3,3,3,2,2,3,1,1,2,2,1,7,2,1,5,1,1,4,1,2,1,1,12,2.543310458,1,3,3,1,2,4,2,2,2,1,1,6,1,2,3,2,0,2,3,3,1,3,1,1,1,6,1,3,2,0.704012997
603769,1,1,2,4,1,3,1,1,1,3,1,2,2,2,1,2,3,2,2,4,3,2,2,1,2,2,3,1,2,3,2,1,1,1,1,1,1,1,1,1,1,2,3,2,3,2,5,3,2,3,2,2,3,4,3,1,2,1,3,4,3,4,1,1,6,2.610409443,1,4,4,1,1,6,2,5,4,1,1,1,1,1,4,1,0,1,6,2,1,2,1,2,2,6,1,1,2,0.675696389
604010,1,2,1,1,3,2,2,3,3,3,2,1,4,1,4,1,1,1,3,1,1,1,1,3,2,2,2,3,3,2,2,1,2,1,2,1,2,1,1,4,2,1,3,2,3,1,4,3,1,1,2,1,1,7,1,1,5,1,1,98,3,2,3,3,645,61.38834744,1,3,3,1,1,5,2,1,1,1,1,1,10,0,6,2,0,2,9,1,1,4,1,1,3,6,1,4,2,0.172937326
604068,1,2,2,1,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,1,3,1,2,3,3,3,3,3,2,2,2,1,1,9,3,5,1,2,3,4,3,2,2,2,3,4,4,6,3,3,98,1,6,1,2,1,8.267879289,2,3,2,2,2,3,2,4,4,1,1,1,1,1,5,3,2,2,3,3,1,3,1,2,1,6,1,3,2,0.941669271
604188,1,1,5,4,2,1,1,1,1,3,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,3,2,2,2,1,2,2,5,2,1,3,3,3,1,2,2,2,2,2,2,2,1,1,2,3,2,1,99,1,1,1,1,22,4.914630632,1,4,4,2,2,3,2,3,5,1,6,1,1,2,5,4,99,9,1,3,1,3,1,2,1,6,4,9,2,3.925894971
604312,2,2,2,2,1,1,1,1,1,3,2,2,3,3,1,1,2,2,3,2,3,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,3,9,2,9,1,3,2,5,1,3,2,2,1,2,4,3,2,6,2,2,98,1,2,2,1,63,7.900340342,1,3,2,2,3,2,1,1,3,1,6,4,2,1,2,99,2,2,2,3,3,3,1,2,1,1,3,3,1,1.846522777
604534,1,1,2,2,3,2,1,3,2,3,2,2,4,2,1,1,2,2,3,2,2,1,2,3,2,2,3,1,3,1,2,1,2,2,2,2,2,2,2,4,2,3,3,2,3,2,4,3,2,3,2,2,2,7,2,2,4,2,1,98,3,2,3,3,3880,75.3363974,1,2,1,2,1,5,2,1,1,1,6,1,10,0,5,2,0,2,7,1,1,4,1,2,2,6,4,4,2,1.063521222
604550,1,1,2,2,3,1,2,3,3,3,1,2,2,3,4,2,2,2,1,2,3,2,2,3,3,3,3,3,3,1,2,1,2,3,1,1,1,1,2,2,2,1,3,3,3,3,0,0,2,2,1,2,2,4,1,1,2,1,1,99,2,2,1,1,7,4.071969146,1,2,4,1,1,5,2,1,1,1,1,1,2,2,2,1,0,1,8,1,1,1,1,1,3,6,1,1,2,0.267214331
